id,text,Room_Facilities,Service_Staff,Location,Food_Beverage,Price_Value,General
eb5cc25c-489d-4268-83d5-5fa7ff68dcb7,kinh_nghiệm tuyệt_vời sẽ sớm trở_lại,0,0,0,0,0,2
pv00-0045-4000-8000-000000000045,nhà_hàng làm món bò bít_tết cực mềm nêm_nếm đỉnh_cao giá lại rất hợp_lý,0,0,0,2,2,0
25f8e860-f050-4f95-bc41-9d79b8c2b00f,khách_sạn thì cũng bình_thường không có gì quá tệ nhưng chắc do quảng_cáo nâng lên mấy cấp nên tưởng là phải sang xịn lắm nói_chung là có gap giữa thực_tế và quảng_cáo,0,0,0,0,0,1
pv13-4000-8000-000000001337,phòng dorm tập thể siêu rộng rãi điều hòa mát rượi chia ra có năm chục ngàn một người siêu tiết kiệm,2,0,0,0,2,0
pv02-4000-8000-000000000242,thu giá cao mà nước tắm yếu xìu tắm bực cả mình thái độ nhân viên còn lơ đãng,1,1,0,0,1,0
44f63032-25ca-4ce7-b809-2ca81908458b,hay quá phù_hợp với giới trẻ,0,0,0,0,0,2
ce898c15-47b6-4380-927f-0f4a31dbcde3,đội_ngũ nhân_viên phục_vụ rất tốt và họ còn tặng quà trong mùa lễ_hội nữa,0,2,0,0,0,0
e4ffdfac-8e5f-4db3-9ed1-9f9fd251cbc5,ibis saigon airport tôi ở lại một đêm vì chuyến bay sớm vị_trí gần sân_bay rất thuận_tiện và dịch_vụ đưa_đón rất hữu_ích tuy_nhiên phòng khá cũ và có mùi ẩm_mốc nồng_nặc khiến tôi cảm_thấy khó_chịu may_mắn thay tôi chỉ ở lại một đêm,1,0,2,0,0,0
j0k1l2m3-0000-4000-8000-000000000883,giá buffet bình dân sinh viên mà chất lượng hải sản ngon nghẻ tôm mực béo ngậy,0,0,0,2,2,0
22415825-5040-46ef-bdcd-9842c0f97373,phong oc sach se thiet bi_day du,2,0,0,0,0,0
98b86d6b-327d-40ad-922e-01cc1840653b,phòng ổn tương_đối giống hình_ảnh minh_họa nệm và chăn_gối rất êm mình ngủ rất ngon_máy điều_hòa hoạt_động tốt ngoài_ra bếp có đầy_đủ ấm đun siêu_tốc lò_vi sóng_vv tuy_nhiên có vài lưu_ý là lúc vào nhận phòng chăn và drap giường có vết bẩn và ố vàng mình chụp lại báo lên thì coỏzum mới cho người đổi lại cách âm không tốt lắm không có thang_máy nên sẽ hơi cực cho các bạn ở cao 1 điểm bất_tiện nữa là cozrum không có cho người dọn phòng và hành_lang mỗi ngày nên mình thấy khá dơ dịch_vụ dọn phòng tận 120 k lần bù lại các bạn ở cozrum hỗ_trợ mình rất nhanh khi cần nên mình thấy ok lắm chung quy_trải_nghiệm của mình tại đây ổn nhé,2,0,0,0,0,1
188d6ff0-1d3a-4367-8b15-976ae8b0b0cc,khách_sạn đẹp thức_ăn ngon và phòng vị_trí rất thoải_mái,2,0,2,0,0,0
3416cf0f-628e-40ac-81c2-7b95bfb66bf0,nhân_viên thân_thiện sạch_sẽ lịch_sự rất thích lần sau sẽ quay lại,0,2,0,0,0,0
e447f34b-e653-44cb-8414-382f07dfefdf,tôi đã ở cả 2 chỗ cảm_thấy mọi thứ đều tốt_trừ wifi có_thể khắc_phục cả wifi nữa tuyệt_vời,1,0,0,0,0,2
dd823f8b-983d-42a1-8806-bba8f59476bd,tạm ổn mình là khách du_lịch ngắn ngày tuy_nhiên phòng_không có máy_sấy tóc không mắc quần_áo,1,0,0,0,0,2
h8i9j0k1-0000-4000-8000-000000000725,một lon bia trong tủ_lạnh mini giá gấp bốn lần siêu_thị thức_ăn lại nhạt_nhẽo,0,0,0,1,1,0
0a8cc161-77dd-45e8-95aa-1178a5c11f72,phòng sạch_sẽ gần trung_tâm đi_lại dễ_dàng tuy_nhiên phòng có tí_xíu cò kè chưa kín âm_thanh,1,0,2,0,0,0
689329be-e526-48dc-aa45-0a58cc9110c3,vị_trí khá ổn ngoài việc nằm trong hẻm xe_hơi không vào được đến trong và không có thang máy_hình với thực_tế không giống lắm chỉ được 50 có_lẽ là do yếu_tố ánh_sáng hoặc chỉnh hình_ảnh vòi xịt nước trong nhà_vệ_sinh rỉ nước liên_tục dẫn đến lúc đêm ngủ hơi khó_chịu,1,0,1,0,0,0
a8c97bdd-9c23-4100-b8fb-3e0c9994a908,rất thích nơi này và muốn quay lại,0,0,0,0,0,2
b2b45fdb-6e38-4578-bb83-a1fc155b8aee,phòng khá nhỏ vì diện_tích chia đổi lầu và mấy ngăn toàn đường_ống điện nước này kia thật_sự còn không thoải_mái rộng_rãi bằng khách_sạn,1,0,0,0,0,0
533a9682-f774-4f9e-bd27-06ad0a342066,khách_sạn cho khách nhận phòng ở dãy sau có_lẽ là dãy cho khách mua qua mạng khách_sạn đang trong giai_đoạn sưa chưa nội_that cũ_kỹ đưowjc cái thuận_tiện đi_lại,1,0,2,0,0,1
0b8f85b1-e9fd-47b0-9169-4a6683e7d9df,điểm cộng cho khách_sạn là nhân_viên dễ_thương mình đến sớm hơn giờ nhận phòng nhưng không phải chờ_đợi phòng thì giống hình_minh_họa nhưng phòng mình ở tầng 5 nhưng máy_lạnh không mát lắm điều_khiển tivi chập_chờn không dán sẵn pass wifi cho khách,1,2,0,0,0,0
c3d4e5f6-0000-4000-8000-000000000165,trái_cây tráng_miệng bị héo không còn độ tươi_ngon,0,0,0,1,0,0
